# path	name	features	autoloads	description
third_party/godot-demo-projects/loading/runtime_save_load	Run-time File Saving and Loading	4.7		
third_party/godot-demo-projects/loading/scene_changer	Scene Changer	4.7		This uses functions in SceneTree to switch between two scenes.
third_party/godot-demo-projects/loading/serialization	Saving and Loading (Serialization)	4.7		
third_party/godot-demo-projects/loading/threads	Loading in a Thread	4.7		An example using a thread to load an image.
third_party/godot-demo-projects/misc/2.5d	2.5D Demo with GDScript	4.7		
third_party/godot-demo-projects/misc/custom_logging	Custom Logging	4.7	CustomLoggerUI	
third_party/godot-demo-projects/misc/graphics_tablet_input	Graphics Tablet Input	4.7		A demo showing how to use graphics tablet input in Godot.
third_party/godot-demo-projects/misc/hdr_output	HDR Output	4.7		This project showcases high dynamic range output in Godot, along with best practices.
third_party/godot-demo-projects/misc/joypads	Joypads	4.7		A tool for testing joypad input.
third_party/godot-demo-projects/misc/large_world_coordinates	Large World Coordinates	4.7		
third_party/godot-demo-projects/misc/matrix_transform	Matrix Transform	4.7		
third_party/godot-demo-projects/misc/multiple_windows	Multiple Windows Demo	4.7, GL Compatibility		A demo showing all Window classes and their use within the main window.
third_party/godot-demo-projects/misc/noise_viewer	Noise Viewer	4.7		This is a sample project which allows the user to tweak different parameters of a FastNoiseLite texture.
third_party/godot-demo-projects/misc/os_test	Operating System Testing	4.7		
third_party/godot-demo-projects/misc/pause	Pause	4.7		A demo showing how a game made in Godot can be paused.
third_party/godot-demo-projects/misc/window_management	Window Management	4.7		A demo showing the various window management features available through DisplayServer.
third_party/godot-demo-projects/mobile/android_iap	godot billing demo	4.7, GL Compatibility		
third_party/godot-demo-projects/mobile/multitouch_cubes	Multitouch Cubes Demo	4.7		Demo of multitouch input and different gestures using the touch API. This demo is meant to be used with a touch-enabled device such as a phone or tablet.
third_party/godot-demo-projects/mobile/multitouch_view	Multitouch View	4.7	TouchHelper	Simple debugger for multitouch input. Shows red dots everywhere you press.
third_party/godot-demo-projects/mobile/sensors	Mobile Sensors Demo	4.7		
third_party/godot-demo-projects/mono/2.5d	2.5D Demo with C#	4.7, C#		
third_party/godot-demo-projects/mono/android_iap	Android In-App Purchases with C#	4.7, C#, Mobile		
third_party/godot-demo-projects/mono/dodge_the_creeps	Dodge the Creeps with C#	4.7, C#		
third_party/godot-demo-projects/mono/multiplayer_pong	Pong Multiplayer with C#	4.7, C#		
third_party/godot-demo-projects/mono/pong	Pong with C#	4.7, C#		
third_party/godot-demo-projects/mono/squash_the_creeps	Squash the Creeps (3D) with C#	4.7, C#, Forward Plus	MusicPlayer	
third_party/godot-demo-projects/networking/multiplayer_bomber	Multiplayer Bomber	4.7	gamestate	
third_party/godot-demo-projects/networking/multiplayer_pong	Pong Multiplayer	4.7		
third_party/godot-demo-projects/networking/webrtc_minimal	WebRTC Minimal Connection	4.7	Signaling	This is a minimal sample of using WebRTC connections to connect two peers to each other.
third_party/godot-demo-projects/networking/webrtc_signaling	WebRTC Signaling Example	4.7		
third_party/godot-demo-projects/networking/websocket_chat	WebSocket Chat Demo	4.7		This is a demo of a simple chat implemented using WebSockets, showing both how to host a websocket server from Godot and how to connect to it.
third_party/godot-demo-projects/networking/websocket_minimal	WebSocket Minimal Demo	4.7		This is a minimal sample of connecting two peers to each other using WebSockets.
third_party/godot-demo-projects/networking/websocket_multiplayer	WebSocket Multiplayer Demo	4.7		This is a sample showing how the use WebSockets along with the Multiplayer API in Godot.
third_party/godot-demo-projects/plugins	Plugin Demos	4.7		
third_party/godot-demo-projects/viewport/2d_in_3d	2D in 3D	4.7		A demo showing how a 2D scene can be shown within a 3D one using viewports.
third_party/godot-demo-projects/viewport/3d_in_2d	3D in 2D	4.7		A demo showing how a 3D scene can be shown within a 2D one using viewports.
third_party/godot-demo-projects/viewport/3d_scaling	3D SubViewport Scaling	4.7		
third_party/godot-demo-projects/viewport/dynamic_split_screen	Dynamic Split Screen	4.7		
third_party/godot-demo-projects/viewport/gui_in_3d	GUI in 3D	4.7		
third_party/godot-demo-projects/viewport/screen_capture	Screen Capture	4.7		An example showing how to take screenshots of the screen.
third_party/godot-demo-projects/viewport/split_screen_input	Split Screen Input	4.7		
third_party/godot-demo-projects/xr/mobile_vr_interface_demo	Mobile VR Stereo Interface Demo	4.7, Forward Plus		
third_party/godot-demo-projects/xr/openxr_binding_modifier_demo	OpenXR Binding Modifiers Demo	4.7, GL Compatibility		
third_party/godot-demo-projects/xr/openxr_character_centric_movement	OpenXR Character Centric Movement	4.7, GL Compatibility		
third_party/godot-demo-projects/xr/openxr_composition_layers	OpenXR Composition Layers	4.7, GL Compatibility		
third_party/godot-demo-projects/xr/openxr_hand_tracking_demo	OpenXR Hand Tracking Demo	4.7, GL Compatibility		
third_party/godot-demo-projects/xr/openxr_origin_centric_movement	OpenXR Origin Centric Movement	4.7, GL Compatibility		
third_party/godot-demo-projects/xr/openxr_passthrough	OpenXR Passthrough demo	4.7, GL Compatibility		
third_party/godot-demo-projects/xr/openxr_render_models	OpenXR Render Models	4.7, GL Compatibility		
third_party/godot-demo-projects/xr/openxr_spectator_view	Openxr Spectator View Demo	4.7, Mobile		
third_party/godot-demo-projects/xr/webxr	WebXR demo	4.7, GL Compatibility		
third_party/godot-open-rpg	OpenRPG	4.6, GL Compatibility	Camera,CombatEvents,FieldEvents,Gameboard,GamepieceRegistry,Music,Player,Transition,Dialogic	
game	ACCRETE	4.7	Events,GameState,Sfx,Vfx	Everything you destroy becomes part of your star.
